,Student Profile id,Algorithm Time Limit,KP Length,LO Length,KP,solution,LP Total Time,LP Score,Algorithm Run Time,Max Time,Max time per session,kp
48,0,1,3,3,,"[88, 68, 29]",2135,75,0.0001633167266845703,8000,2000,"[1, 3, 19]"
49,0,1,14,14,,"[39, 55, 86, 4, 79, 32, 41, 64, 80, 68, 88, 11, 51, 29]",7921,327,1.000046730041504,8000,2000,"[2, 7, 12, 15, 9, 5, 6, 14, 18, 3, 1, 11, 17, 19]"
50,0,2,12,12,,"[46, 32, 79, 39, 54, 85, 75, 11, 80, 51, 3, 29]",6447,277,2.000065803527832,8000,2000,"[6, 5, 9, 2, 7, 12, 8, 11, 18, 17, 15, 19]"
51,0,2,3,3,,"[11, 75, 29]",2077,79,0.00047898292541503906,8000,2000,"[11, 8, 19]"
52,0,2,4,4,,"[11, 3, 51, 29]",2310,108,0.0017278194427490234,8000,2000,"[11, 15, 17, 19]"
53,0,2,7,7,,"[42, 65, 80, 51, 11, 75, 29]",6086,187,0.8892953395843506,8000,2000,"[6, 14, 18, 17, 11, 8, 19]"
54,0,2,5,5,,"[11, 3, 51, 75, 29]",2885,141,0.006448030471801758,8000,2000,"[11, 15, 17, 8, 19]"
55,0,2,4,4,,"[11, 51, 80, 29]",2759,88,0.0009763240814208984,8000,2000,"[11, 17, 18, 19]"
56,0,2,11,11,,"[13, 90, 71, 80, 3, 76, 32, 58, 75, 51, 26]",8000,280,2.0000953674316406,8000,2000,"[11, 1, 3, 18, 15, 9, 5, 10, 8, 17, 19]"
57,0,2,9,9,,"[46, 39, 76, 3, 51, 11, 91, 65, 29]",5519,238,2.0000500679016113,8000,2000,"[6, 2, 9, 15, 17, 11, 16, 14, 19]"
58,0,2,10,10,,"[82, 13, 93, 85, 76, 32, 42, 64, 75, 27]",7866,244,2.000049591064453,8000,2000,"[18, 11, 16, 12, 9, 5, 6, 14, 8, 19]"
59,0,2,7,7,,"[42, 65, 91, 11, 88, 68, 29]",5293,207,0.6010313034057617,8000,2000,"[6, 14, 16, 11, 1, 3, 19]"
60,0,2,7,7,,"[88, 39, 36, 58, 54, 65, 29]",4335,191,0.20174026489257812,8000,2000,"[1, 2, 4, 10, 7, 14, 19]"
61,0,2,14,14,,"[90, 39, 72, 60, 75, 65, 3, 11, 91, 85, 77, 32, 41, 26]",7869,414,2.0793838500976562,8000,2000,"[1, 2, 4, 10, 8, 14, 15, 11, 16, 12, 9, 5, 6, 19]"
62,0,2,2,2,,"[80, 29]",2194,26,0.00014066696166992188,8000,2000,"[18, 19]"
63,0,2,9,9,,"[46, 32, 36, 58, 54, 16, 91, 11, 29]",5182,229,2.000044107437134,8000,2000,"[6, 5, 4, 10, 7, 13, 16, 11, 19]"
64,0,2,10,10,,"[82, 13, 51, 75, 3, 16, 91, 65, 42, 29]",7942,274,2.000051259994507,8000,2000,"[18, 11, 17, 8, 15, 13, 16, 14, 6, 19]"
65,0,2,4,4,,"[80, 65, 42, 29]",4946,92,0.08490681648254395,8000,2000,"[18, 14, 6, 19]"
66,0,2,8,8,,"[11, 3, 91, 16, 54, 85, 75, 29]",4579,224,1.9192414283752441,8000,2000,"[11, 15, 16, 13, 7, 12, 8, 19]"
67,0,2,12,12,,"[39, 79, 32, 36, 58, 75, 51, 11, 80, 68, 88, 29]",6709,321,2.000056743621826,8000,2000,"[2, 9, 5, 4, 10, 8, 17, 11, 18, 3, 1, 19]"
